m,k,alpha,s,closed,sim,abs_err,iid
20,100,1.0,0.0,18.208003115368566,18.19925,0.00875311536856671,18.208003115368566
20,100,1.0,0.3,16.7752308585584,16.752,0.023230858558399348,18.208003115368566
20,100,1.0,0.6,13.886884112542106,13.844,0.04288411254210622,18.208003115368566
20,100,1.0,0.9,6.814217275116382,6.79175,0.022467275116381913,18.208003115368566
50,100,1.2,0.0,27.185373276221352,27.156,0.029373276221352995,27.185373276221352
50,100,1.2,0.3,22.76187543969933,22.7305,0.031375439699331764,27.185373276221352
50,100,1.2,0.6,16.71690574521674,16.66925,0.04765574521673699,27.185373276221352
50,100,1.2,0.9,7.048973029512638,7.03475,0.014223029512637986,27.185373276221352
50,200,0.8,0.0,44.629893024217985,44.6655,0.03560697578201655,44.629893024217985
50,200,0.8,0.3,40.552786605282364,40.497,0.05578660528236412,44.629893024217985
50,200,0.8,0.6,32.60857746549507,32.57925,0.02932746549506504,44.629893024217985
50,200,0.8,0.9,14.411447748962612,14.4065,0.004947748962612408,44.629893024217985
100,150,1.0,0.0,51.79006240058158,51.842,0.051937599418415914,51.79006240058158
100,150,1.0,0.3,42.591167855290855,42.51275,0.07841785529085854,51.79006240058158
100,150,1.0,0.6,30.281551296982908,30.27075,0.010801296982908326,51.79006240058158
100,150,1.0,0.9,11.554048046610612,11.56775,0.013701953389388066,51.79006240058158
