family,k,alpha_hat,alpha_true,forecast,realized,oracle,rel_err_pct,direction
skew,100,0.5,0.0,46.82730199054406,50.68333333333333,50.74933968154275,7.608085516848286,UNDER -> unsafe
skew,100,0.5,0.5,46.82730199054406,46.78333333333333,46.82730199054406,0.0939835921853786,OVER -> SAFE
skew,100,0.5,1.0,46.82730199054406,34.916666666666664,35.32981751371695,34.11160474618824,OVER -> SAFE
skew,100,0.5,1.5,46.82730199054406,21.233333333333334,21.633552653022427,120.53674406849633,OVER -> SAFE
skew,100,0.5,2.0,46.82730199054406,12.333333333333334,12.453562327350266,279.6808269503572,OVER -> SAFE
skew,100,1.0,0.0,35.32981751371695,50.68333333333333,50.74933968154275,30.293026937750184,UNDER -> unsafe
skew,100,1.0,0.5,35.32981751371695,46.78333333333333,46.82730199054406,24.482043077199258,UNDER -> unsafe
skew,100,1.0,1.0,35.32981751371695,34.916666666666664,35.32981751371695,1.1832482493086844,OVER -> SAFE
skew,100,1.0,1.5,35.32981751371695,21.233333333333334,21.633552653022427,66.38846552770931,OVER -> SAFE
skew,100,1.0,2.0,35.32981751371695,12.333333333333334,12.453562327350266,186.45797984094818,OVER -> SAFE
skew,100,1.5,0.0,21.633552653022427,50.68333333333333,50.74933968154275,57.31623942185644,UNDER -> unsafe
skew,100,1.5,0.5,21.633552653022427,46.78333333333333,46.82730199054406,53.757992191615756,UNDER -> unsafe
skew,100,1.5,1.0,21.633552653022427,34.916666666666664,35.32981751371695,38.042331303993045,UNDER -> unsafe
skew,100,1.5,1.5,21.633552653022427,21.233333333333334,21.633552653022427,1.8848633580334042,OVER -> SAFE
skew,100,1.5,2.0,21.633552653022427,12.333333333333334,12.453562327350266,75.4071836731548,OVER -> SAFE
skew,500,0.5,0.0,63.743688671236,64.0,63.97565175243704,0.4004864511937489,UNDER -> unsafe
skew,500,0.5,0.5,63.743688671236,63.8,63.743688671236,0.08826227078996313,UNDER -> unsafe
skew,500,0.5,1.0,63.743688671236,60.483333333333334,60.09058218113033,5.390502074239735,OVER -> SAFE
skew,500,0.5,1.5,63.743688671236,44.95,44.44287221280139,41.81020838984649,OVER -> SAFE
skew,500,0.5,2.0,63.743688671236,26.033333333333335,25.856519624367852,144.85411781524712,OVER -> SAFE
skew,500,1.0,0.0,60.09058218113033,64.0,63.97565175243704,6.10846534198386,UNDER -> unsafe
skew,500,1.0,0.5,60.09058218113033,63.8,63.743688671236,5.814134512334903,UNDER -> unsafe
skew,500,1.0,1.0,60.09058218113033,60.483333333333334,60.09058218113033,0.6493543436809113,UNDER -> unsafe
skew,500,1.0,1.5,60.09058218113033,44.95,44.44287221280139,33.68316391797626,OVER -> SAFE
skew,500,1.0,2.0,60.09058218113033,26.033333333333335,25.856519624367852,130.8216985190666,OVER -> SAFE
skew,500,1.5,0.0,44.44287221280139,64.0,63.97565175243704,30.55801216749783,UNDER -> unsafe
skew,500,1.5,0.5,44.44287221280139,63.8,63.743688671236,30.340325685264276,UNDER -> unsafe
skew,500,1.5,1.0,44.44287221280139,60.483333333333334,60.09058218113033,26.520464790077614,UNDER -> unsafe
skew,500,1.5,1.5,44.44287221280139,44.95,44.44287221280139,1.1282041984396276,UNDER -> unsafe
skew,500,1.5,2.0,44.44287221280139,26.033333333333335,25.856519624367852,70.71525817977485,OVER -> SAFE
structural,100,1.0,uniform,35.32981751371695,50.68333333333333,50.74933968154275,30.293026937750184,UNDER -> unsafe
structural,100,1.0,lognormal-ish,35.32981751371695,49.233333333333334,49.42368532095391,28.240045672883657,UNDER -> unsafe
structural,100,1.0,pareto-ish(b=2),35.32981751371695,12.333333333333334,12.453562327350266,186.45797984094818,OVER -> SAFE
structural,100,1.0,zipf(1.0) [match],35.32981751371695,34.916666666666664,35.32981751371695,1.1832482493086844,OVER -> SAFE
structural,500,1.0,uniform,60.09058218113033,64.0,63.97565175243704,6.10846534198386,UNDER -> unsafe
structural,500,1.0,lognormal-ish,60.09058218113033,63.85,63.878256408353714,5.8878900843691016,UNDER -> unsafe
structural,500,1.0,pareto-ish(b=2),60.09058218113033,26.033333333333335,25.856519624367852,130.8216985190666,OVER -> SAFE
structural,500,1.0,zipf(1.0) [match],60.09058218113033,60.483333333333334,60.09058218113033,0.6493543436809113,UNDER -> unsafe
