cell,path,n,median_ms,median_ci_lo_ms,median_ci_hi_ms,p95_ms,mean_ms,min_ms,throughput_qps,cache_hit_rate,distinct_species,elapsed_s
adult_count,raw,200,0.15729998995084316,0.1542999962111935,0.16200125373870833,0.2617449987155851,0.18746599940641318,0.14629999350290745,,,,
adult_count,hit,400,0.22509999689646065,0.22454999980254797,0.225499999942258,0.27372500335332006,0.23418149990902748,0.22000000171829015,,,,
adult_count,miss,200,0.8308499964186922,0.8229974948335439,0.8383499953197315,1.0981700084812474,0.8996109996951418,0.7488999981433153,,,,
adult_sum,raw,200,0.17660000594332814,0.17330000264337286,0.1794499985408038,0.33533499154145824,0.21721100092690904,0.16429999959655106,,,,
adult_sum,hit,400,0.22844999330118299,0.22799998987466097,0.22884999634698033,0.2788449979561846,0.23896999966382282,0.22260000696405768,,,,
adult_sum,miss,200,1.1544500011950731,1.1232999968342483,1.1757999891415238,1.4660699991509316,1.1895939998066751,1.0091000003740191,,,,
adult_group,raw,200,0.21980000019539148,0.21514874406420859,0.23186249763966765,0.9064300022146198,0.4084235006303061,0.20500000391621143,,,,
adult_group,hit,400,0.2855499988072552,0.2849000011337921,0.2861499962818925,0.34286499139852816,0.29956575028336374,0.2775999892037362,,,,
adult_group,miss,200,1.0738999917521141,1.0402999905636534,1.1166500044055283,1.838885000324808,1.2302309997176053,0.9397999965585768,,,,
tpch_count,raw,200,0.4927499976474792,0.4908987482849625,0.4954999967594631,0.5804150103358552,0.5127420000644634,0.4661999992094934,,,,
tpch_count,hit,400,0.2295500016771257,0.229199999012053,0.22990000434219837,0.2843450100044719,0.24103925017698202,0.22420000459533185,,,,
tpch_count,miss,200,1.1709500031429343,1.1595500036492012,1.18010000733193,1.2923900030727964,1.1761164999916218,1.0763999889604747,,,,
tpch_sum,raw,200,0.18730000010691583,0.18544874346844153,0.189200000022538,1.3368150044698268,0.4116949994204333,0.17519999528303742,,,,
tpch_sum,hit,400,0.23050000163493678,0.2300000051036477,0.2312500000698492,0.28970499406568706,0.244157750166778,0.22400000307243317,,,,
tpch_sum,miss,200,1.1901999969268218,1.1589499990805052,1.2229999992996454,4.018959992390592,1.679756999728852,1.0152999893762171,,,,
mixed_workload,throughput,3000,0.6236842333310051,,,,0.6236842333310051,,1603.3754687995688,0.7356666666666667,1500.0,1.8710526999930153
