alpha,policy,mae,mae_miss,mae_miss_sem,answered,eps_used
0.5,naive,9.73,9.7,0.29,100.0,1.96
0.5,closed_form,5.06,4.71,0.26,68.0,10.0
0.5,closed_form_sgt,7.88,7.77,0.65,85.6,9.2
0.5,closed_form_safe,2.0,1.99,0.06,100.0,9.81
0.5,closed_form_rerelease,4.97,6.56,0.36,68.0,9.77
0.5,bandit,3.68,3.57,0.2,100.0,7.68
0.5,modeldriven_bandit,1.39,1.42,0.06,62.2,9.9
0.5,oracle,1.95,1.96,0.06,100.0,10.0
1.0,naive,10.05,9.71,0.27,100.0,1.81
1.0,closed_form,8.01,5.27,0.36,77.8,10.0
1.0,closed_form_sgt,11.08,9.16,0.74,91.6,9.28
1.0,closed_form_safe,1.75,1.97,0.07,100.0,9.06
1.0,closed_form_rerelease,4.73,6.04,0.38,77.8,9.69
1.0,bandit,4.09,3.48,0.15,100.0,7.11
1.0,modeldriven_bandit,1.53,1.41,0.08,73.9,9.87
1.0,oracle,1.79,1.9,0.07,100.0,10.0
1.5,naive,10.18,9.89,0.34,100.0,1.49
1.5,closed_form,8.11,4.57,0.31,86.1,10.0
1.5,closed_form_sgt,13.92,12.42,1.05,96.0,8.64
1.5,closed_form_safe,1.94,2.07,0.08,100.0,7.42
1.5,closed_form_rerelease,5.01,6.47,0.52,86.1,9.55
1.5,bandit,3.93,3.28,0.15,100.0,5.68
1.5,modeldriven_bandit,1.66,1.33,0.08,82.7,9.85
1.5,oracle,1.53,1.59,0.06,100.0,10.0
2.0,naive,11.6,10.56,0.43,100.0,1.08
2.0,closed_form,8.16,4.45,0.28,91.0,10.0
2.0,closed_form_sgt,9.78,10.82,1.15,96.8,8.7
2.0,closed_form_safe,2.31,2.08,0.09,100.0,5.42
2.0,closed_form_rerelease,5.42,6.41,0.53,91.0,9.24
2.0,bandit,4.25,3.98,0.23,100.0,3.74
2.0,modeldriven_bandit,1.57,1.28,0.09,90.8,9.71
2.0,oracle,0.83,0.98,0.04,100.0,10.0
