alpha,n,t,predictor,mean_pred,mean_true,signed_rel_err_pct,abs_rel_err_pct
0.5,20,4.0,plugin,15.75,40.17,-60.8,60.8
0.5,20,4.0,good_toulmin,50.83,40.17,28.3,77.6
0.5,20,4.0,smoothed_gt,42.12,40.17,5.7,52.0
0.5,20,4.0,chao1,48.74,40.17,20.7,47.6
0.5,33,2.0,plugin,22.62,40.25,-43.8,43.8
0.5,33,2.0,good_toulmin,54.05,40.25,34.2,54.7
0.5,33,2.0,smoothed_gt,44.7,40.25,10.7,25.9
0.5,33,2.0,chao1,59.25,40.25,46.7,56.9
0.5,50,1.0,plugin,29.15,40.35,-27.7,27.7
0.5,50,1.0,good_toulmin,42.4,40.35,5.1,14.0
0.5,50,1.0,smoothed_gt,42.4,40.35,5.1,14.0
0.5,50,1.0,chao1,54.11,40.35,33.9,37.8
0.5,66,0.5,plugin,34.35,40.92,-16.0,16.0
0.5,66,0.5,good_toulmin,40.56,40.92,-0.9,4.7
0.5,66,0.5,smoothed_gt,40.56,40.92,-0.9,4.7
0.5,66,0.5,chao1,48.88,40.92,19.2,20.6
1.0,20,4.0,plugin,12.9,32.35,-60.1,60.1
1.0,20,4.0,good_toulmin,50.2,32.35,58.1,125.1
1.0,20,4.0,smoothed_gt,47.44,32.35,49.4,114.6
1.0,20,4.0,chao1,44.9,32.35,39.2,57.5
1.0,33,2.0,plugin,17.25,31.95,-45.7,45.7
1.0,33,2.0,good_toulmin,43.57,31.95,37.4,96.6
1.0,33,2.0,smoothed_gt,30.68,31.95,-3.3,20.7
1.0,33,2.0,chao1,40.32,31.95,26.6,39.6
1.0,50,1.0,plugin,22.27,32.23,-30.7,30.7
1.0,50,1.0,good_toulmin,31.6,32.23,-1.6,12.4
1.0,50,1.0,smoothed_gt,31.6,32.23,-1.6,12.4
1.0,50,1.0,chao1,45.31,32.23,40.8,44.7
1.0,66,0.5,plugin,26.18,31.93,-17.9,17.9
1.0,66,0.5,good_toulmin,31.9,31.93,0.0,7.7
1.0,66,0.5,smoothed_gt,31.9,31.93,0.0,7.7
1.0,66,0.5,chao1,48.01,31.93,50.8,51.4
1.5,20,4.0,plugin,8.38,20.75,-59.5,59.5
1.5,20,4.0,good_toulmin,45.02,20.75,123.8,195.9
1.5,20,4.0,smoothed_gt,45.27,20.75,124.9,194.8
1.5,20,4.0,chao1,20.77,20.75,-1.8,47.4
1.5,33,2.0,plugin,11.65,20.25,-42.3,42.3
1.5,33,2.0,good_toulmin,58.05,20.25,194.0,234.7
1.5,33,2.0,smoothed_gt,20.53,20.25,1.0,28.7
1.5,33,2.0,chao1,28.66,20.25,41.1,52.5
1.5,50,1.0,plugin,13.7,20.38,-32.6,32.6
1.5,50,1.0,good_toulmin,19.48,20.38,-4.2,16.0
1.5,50,1.0,smoothed_gt,19.48,20.38,-4.2,16.0
1.5,50,1.0,chao1,33.12,20.38,62.4,68.3
1.5,66,0.5,plugin,16.7,20.45,-18.3,18.3
1.5,66,0.5,good_toulmin,20.63,20.45,0.6,9.0
1.5,66,0.5,smoothed_gt,20.63,20.45,0.6,9.0
1.5,66,0.5,chao1,39.58,20.45,90.7,93.2
2.0,20,4.0,plugin,5.65,12.12,-53.4,53.4
2.0,20,4.0,good_toulmin,50.88,12.12,365.8,418.1
2.0,20,4.0,smoothed_gt,32.41,12.12,184.6,241.3
2.0,20,4.0,chao1,10.46,12.12,-17.5,37.4
2.0,33,2.0,plugin,7.05,12.2,-41.5,41.5
2.0,33,2.0,good_toulmin,51.12,12.2,338.1,384.2
2.0,33,2.0,smoothed_gt,12.05,12.2,-0.5,32.1
2.0,33,2.0,chao1,13.54,12.2,9.7,39.1
2.0,50,1.0,plugin,8.62,12.4,-30.0,30.0
2.0,50,1.0,good_toulmin,11.95,12.4,-3.4,26.2
2.0,50,1.0,smoothed_gt,11.95,12.4,-3.4,26.2
2.0,50,1.0,chao1,15.71,12.4,25.4,41.7
2.0,66,0.5,plugin,9.57,12.1,-20.3,20.3
2.0,66,0.5,good_toulmin,11.65,12.1,-3.2,11.7
2.0,66,0.5,smoothed_gt,11.65,12.1,-3.2,11.7
2.0,66,0.5,chao1,18.38,12.1,50.6,54.7
