tau,lam,N,bound,realized,se,ratio,holds,kind
10,0.0,20.0,563.6882474678922,121.02,0.24578960785257134,0.2146931403016227,True,strict
10,0.05,25.0,704.6103093348653,125.44,0.27655416379759046,0.1780274831891294,True,strict
10,0.1,30.0,845.5323712018384,130.0975,0.28668441579662407,0.1538645999029932,True,strict
25,0.0,8.0,225.4752989871569,87.3075,0.21960858179496306,0.3872153641316296,True,strict
25,0.05,13.0,366.39736085412994,98.4375,0.2588827632109162,0.2686632342834749,True,strict
25,0.1,18.0,507.319422721103,108.75,0.2892714034642128,0.2143619879891429,True,strict
50,0.0,4.0,112.73764949357845,64.0375,0.16311576028432334,0.5680223092077823,True,strict
50,0.05,9.0,253.6597113605515,83.7575,0.26266750831576413,0.3301963072919657,True,strict
50,0.1,14.0,394.58177322752454,100.1275,0.3090378137069182,0.2537560191414728,True,strict
inf,0.0,1.0,28.18441237339461,28.25,0.058543302740273785,1.0023270886664752,True,tight (equality)
inf,0.05,6.0,169.10647424036767,74.5275,0.28157382499498385,0.4407134637202993,True,strict
inf,0.1,11.0,310.0285361073407,97.5375,0.328715864652416,0.3146081364788619,True,strict
